Fire_ID,Year,Fire_Name,Fire_Type
id4329411554820130809,2013,PONY COMPLEX,Wildfire
id4331911527420100916,2010,CASTLE ROCK,Wildfire
id4334011550020130809,2013,ELK COMPLEX,Wildfire
id4334711556119860807,1986,LONG TOM,Wildfire
id4335611513420031022,2003,HILL CITY BLUES 2,Wildfire
id4337211504520070811,2007,COW CREEK,Wildfire
id4340211569119860807,1986,WILLOW CREEK COMPLEX,Wildfire
id4341011580719850706,1985,BOWNS,Wildfire
id4342011485220130807,2013,MCCAN,Wildfire
id4345711455020130807,2013,BEAVER CREEK,Wildfire
id4351511577019890726,1989,WILLOW CREEK,Wildfire
id4351811585420070717,2007,WOOD CREEK,Wildfire
id4351911570619920819,1992,FOOTHILLS,Wildfire
id4354211605820060810,2006,DISCOVERY,Wildfire
id4354611602919960702,1996,NORTH SHORE,Wildfire
id4355111606420000924,2000,HILLTOP,Wildfire
id4355611604320130806,2013,HILL TOP,Wildfire
id4355711510020130824,2013,KELLEY,Wildfire
id4356411603820160719,2016,MM14  HIGHWAY21,Wildfire
id4356711591619920611,1992,GROUSE CREEK,Wildfire
id4361311598019980816,1998,TOLL ROAD,Wildfire
id4365211591419920902,1992,DUNNIGAN #2,Wildfire
id4366411544920060904,2006,EAST ROARING,Wildfire
id4366611522219940728,1994,IDAHO CITY COMPLEX (NORTH FORK),Wildfire
id4366611613519960826,1996,EIGHTH STREET,Wildfire
id4367611512820080807,2008,SOUTH BARKER WFU,Wildfire
id4368811570419900815,1990,BADGER CREEK,Wildfire
id4370011582819940819,1994,IDAHO CITY COMPLEX (STAR GULCH),Wildfire
id4371111536820120803,2012,TRINITY RIDGE,Wildfire
id4372511589219870713,1987,MINNEHA,Wildfire
id4375011512820000815,2000,TRAIL CREEK,Wildfire
id4376811602520130715,2013,PINE CREEK,Wildfire
id4377211574019940728,1994,IDAHO CITY COMPLEX (BANNOCK),Wildfire
id4378711598520151010,2015,WALKER,Wildfire
id4379911505820130703,2013,LEGGIT,Wildfire
id4380211525420030719,2003,HOT CREEK,Wildfire
id4381811588520050903,2005,GREGORY,Wildfire
id4388711518020130817,2013,LITTLE QUEENS,Wildfire
id4390111576519890726,1989,KING GULCH,Wildfire
id4392811541119940728,1994,IDAHO CITY COMPLEX (RABBIT CREEK),Wildfire
id4395011576220160718,2016,PIONEER,Wildfire
id4403711516619890728,1989,MCPHEARSON,Wildfire
id4408611596520140715,2014,WHISKEY COMPLEX,Wildfire
id4409211552419890726,1989,SMOKEY CREEK,Wildfire